"recipe1_title","recipe1_url","recipe1_author","recipe1_category","recipe2_title","recipe2_url","recipe2_author","recipe2_category","similarity","levenshtein","jarowinkler","category_equality"
"Bavarese","https://www.cucchiaio.it/ricetta/bavarese/","cucchiaio.it","dolci","Bavarese","https://ricette.giallozafferano.it/Bavarese.html","giallozafferano.it","dolci","1","1","1","true"
"Tiramisù senza uova","https://www.cucchiaio.it/ricetta/tiramisu-senza-uova/","cucchiaio.it","dolci","Tiramisù senza uova","https://ricette.giallozafferano.it/Tiramisu-senza-uova.html","giallozafferano.it","dolci","1","1","1","true"
"Scorzette d'arancia candite","https://www.cucchiaio.it/ricetta/ricetta-scorzette-darancia-candite/","cucchiaio.it","dolci","Scorze di arance candite","https://ricette.giallozafferano.it/Scorze-di-arance-candite.html","giallozafferano.it","dolci","1","0.75","0.9511904761904761","true"
"Vinaigrette","https://www.cucchiaio.it/ricetta/ricetta-vinaigrette/","cucchiaio.it","salse","Vinaigrette","https://www.cucchiaio.it/ricetta/ricetta-vinaigrette-classica/","cucchiaio.it","salse","1","1","1","true"
"Verza e patate","https://www.cucchiaio.it/ricetta/verza-e-patate/","cucchiaio.it","contorni","Verza e patate","https://ricette.giallozafferano.it/Verza-e-patate.html","giallozafferano.it","contorni","1","1","1","true"
"Risotto alle mandorle e arance","https://www.cucchiaio.it/ricetta/ricetta-risotto-mandorlato-arance/","cucchiaio.it","primi piatti","Risotto alle mandorle e arance","https://www.cucchiaio.it/ricetta/ricetta-risotto-mandorle-arance/","cucchiaio.it","primi piatti","1","1","1","true"
"Semifreddo ai lamponi","https://www.cucchiaio.it/ricetta/ricetta-semifreddo-lamponi/","cucchiaio.it","","Semifreddo al lampone","https://www.cucchiaio.it/ricetta/ricetta-semifreddo-lampone/","cucchiaio.it","dolci","1","0.8947368421052632","0.9578947368421054","false"
"Baccalà con peperoni “cruschi”","https://www.cucchiaio.it/ricetta/ricetta-baccala-peperoni-cruschi/","cucchiaio.it","secondi piatti","Baccalà con peperoni","https://www.cucchiaio.it/ricetta/ricetta-baccala-peperoni/","cucchiaio.it","secondi piatti","1","0.72","0.944","true"
"Confettura di pere e zenzero","https://www.cucchiaio.it/ricetta/confettura-pere-e-zenzero/","cucchiaio.it","","Confettura pere e zenzero","https://ricette.giallozafferano.it/Confettura-pere-e-zenzero.html","giallozafferano.it","creme","1","0.9166666666666666","0.9833333333333333","false"
"Bavarese di Natale ai tre cioccolati","https://www.cucchiaio.it/ricetta/ricetta-bavarese-natale-tre-cioccolati/","cucchiaio.it","dolci","Bavarese ai tre cioccolati","https://www.cucchiaio.it/ricetta/ricetta-bavarese-tre-cioccolati/","cucchiaio.it","dolci","1","0.7419354838709677","0.8962131837307153","true"
"Polenta ","https://www.cucchiaio.it/ricetta/ricetta-polenta-ricetta-base/","cucchiaio.it","secondi piatti","Polenta","https://www.cucchiaio.it/ricetta/ricetta-polenta/","cucchiaio.it","primi piatti","1","1","1","false"
"Tortino di farro e riso","https://www.cucchiaio.it/ricetta/ricetta-tortino-farro-riso/","cucchiaio.it","antipasti","Tortino di farro e riso","https://www.cucchiaio.it/ricetta/tortino-di-farro-e-riso/","cucchiaio.it","piatti unici","1","1","1","false"
"Crema Chantilly","https://www.cucchiaio.it/ricetta/ricetta-crema-chantilly/","cucchiaio.it","creme","Crema Chantilly","https://ricette.giallozafferano.it/Crema-Chantilly.html","giallozafferano.it","dolci","1","1","1","false"
"Creme Brulèe","https://www.cucchiaio.it/ricetta/ricetta-creme-brulee/","cucchiaio.it","dolci","Creme brulèe","https://ricette.giallozafferano.it/Creme-brule.html","giallozafferano.it","dolci","1","1","1","true"
"Crema catalana","https://www.cucchiaio.it/ricetta/crema-catalana/","cucchiaio.it","dolci","Crema catalana","https://ricette.giallozafferano.it/Crema-catalana.html","giallozafferano.it","dolci","1","1","1","true"
