,Ingredient,Pre,Normalization,Freq
0,Biscotti Digestive,biscotti digestive,biscotti digestive,69
1,Burro,burro,burro,4606
2,Ricotta vaccina,ricotta vaccina,ricotta vaccina,258
3,Formaggio fresco spalmabile,formaggio fresco spalmabile,formaggio fresco spalmabile,134
4,Zucchero a velo,zucchero,zucchero,4949
5,Succo di limone,succo di limone,succo di limone,599
6,Scorza di limone,scorza di limone,scorza di limone,567
7,Panna fresca liquida,panna fresca liquida,panna fresca liquida,1860
8,Gelatina in fogli,gelatina,gelatina,429
9,Amido di mais (maizena),amido di mais,amido di mais,322
10,Acqua,acqua,acqua,1976
11,Coloranti alimentari,coloranti alimentari,coloranti alimentari,106
12,Farina Manitoba,farina manitoba,farina manitoba,233
13,Farina 00,farina 00,farina 00,1803
14,Sale fino,sale fino,sale fino,9693
15,Lievito di birra fresco,lievito di birra fresco,lievito di birra fresco,176
16,Tonno sott'olio,tonno sott'olio,tonno sott'olio,121
17,Passata di pomodoro,passata di pomodoro,passata di pomodoro,374
18,Pomodorini datterini,pomodorini datterini,pomodorini datterini,128
19,Fiori di zucca,fiori di zucca,fiori di zucca,68
20,Burrata,burrata,burrata,28
21,Capperi sotto sale,capperi sotto sale,capperi sotto sale,366
22,Basilico,basilico,basilico,944
23,Olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,4337
24,Pepe nero,pepe nero,pepe nero,5844
25,Pandoro,pandoro,pandoro,22
26,Nutella®,nutella®,nutella®,136
27,Mascarpone,mascarpone,mascarpone,213
28,Lievito istantaneo per preparazioni salate,lievito istantaneo,lievito istantaneo,994
29,Carote,carote,carote,1077
30,Zucchine,zucchine,zucchine,654
31,Fontina,fontina,fontina,155
32,Prosciutto cotto,prosciutto cotto,prosciutto cotto,324
33,Melanzane,melanzane,melanzane,295
34,Pane,pane,pane,363
35,Aglio,aglio,aglio,2572
36,Menta,menta,menta,533
37,Aceto di vino bianco,aceto di vino bianco,aceto di vino bianco,528
38,Uova,uova,uova,3872
39,Fecola di patate,fecola di patate,fecola di patate,233
40,Tuorli,tuorli,tuorli,1385
41,Baccello di vaniglia,baccello di vaniglia,baccello di vaniglia,845
42,Biscotti secchi al cioccolato,biscotti secchi al cioccolato,biscotti secchi al cioccolato,29
43,Succo d'arancia,succo d'arancia,succo d'arancia,135
44,Zucchero,zucchero,zucchero,4949
45,Scorza d'arancia,scorza d'arancia,scorza d'arancia,187
46,Cannella in polvere,cannella,cannella,499
47,Biscotti secchi integrali,biscotti secchi integrali,biscotti,84
48,Burro light,burro light,burro,4606
49,Formaggio fresco spalmabile light,formaggio fresco spalmabile light,formaggio,134
50,Yogurt magro,yogurt magro,yogurt magro,129
51,Fruttosio,fruttosio,fruttosio,4
52,Latte intero,latte intero,latte intero,2242
53,Lievito in polvere per dolci,lievito,lievito,994
54,Cacao amaro in polvere,cacao amaro,cacao amaro,524
55,Pasta fillo,pasta fillo,pasta fillo,44
56,Gelato alla crema,gelato alla crema,gelato alla crema,5
57,Topping alla fragola,topping alla fragola,topping alla fragola,249
58,Olio di semi di girasole,olio di semi di girasole,olio di semi di girasole,132
59,Pane bianco in cassetta,pane bianco,pane bianco,363
60,Cheddar,cheddar,cheddar,15
61,Lievito di birra secco,lievito di birra secco,lievito di birra secco,364
62,Cellentani,cellentani,cellentani,5
63,Pangrattato,pangrattato,pangrattato,834
64,Emmentaler,emmentaler,emmentaler,83
65,Noce moscata,noce moscata,noce moscata,356
66,Parmigiano Reggiano DOP,parmigiano reggiano dop,parmigiano reggiano dop,1291
67,Mandorle in scaglie,mandorle,mandorle,415
68,Olio di semi,olio di semi,olio di semi,323
69,Grana Padano DOP,grana padano dop,grana padano dop,591
70,Bicarbonato,bicarbonato,bicarbonato,142
71,Paprika dolce,paprika dolce,paprika dolce,272
72,Fichi secchi,fichi secchi,fichi secchi,41
73,Farina 1,farina 1,farina 1,13
74,Miele millefiori,miele millefiori,miele millefiori,89
75,Baccalà,baccalà,baccalà,94
76,Cavolfiore,cavolfiore,cavolfiore,101
77,Olio di semi di arachide,olio di semi di arachide,olio di semi di arachide,339
78,Prezzemolo,prezzemolo,prezzemolo,1668
79,Farina di nocciole,farina di nocciole,farina di nocciole,53
80,Pasta di nocciole,pasta di nocciole,pasta di nocciole,136
81,Grano per pastiera,grano,grana,2121
82,Gocce di cioccolato fondente,gocce di cioccolato fondente,gocce di cioccolato fondente,71
83,Cedro,cedro,cedro,11
84,Acqua di fiori d'arancio,acqua di fiori d'arancio,acqua di fiori d'arancio,27
85,Cime di rapa,cime di rapa,cime di rapa,20
86,Taleggio,taleggio,taleggio,49
87,Cipollotto fresco,cipollotto fresco,cipollotto fresco,296
88,Peperoncino in polvere,peperoncino,peperoncino,468
89,Riso Carnaroli,riso carnaroli,riso carnaroli,233
90,Pisellini,pisellini,pisellini,302
91,Vino bianco secco,vino bianco secco,vino bianco secco,1177
92,Brodo vegetale,brodo vegetale,brodo vegetale,571
93,Cipolle,cipolle,cipolle,1415
94,Crescenza,crescenza,crescenza,19
95,Porri,porri,porri,299
96,Groviera,groviera,groviera,90
97,Salvia,salvia,salvia,484
98,Avocado,avocado,avocado,136
99,Salmone affumicato,salmone affumicato,salmone affumicato,121
100,Erba cipollina,erba cipollina,erba cipollina,367
101,Lime,lime,lime,135
102,Pepe rosa in grani,pepe rosa,pepe rosa,5844
103,Yogurt greco,yogurt greco,yogurt greco,196
104,Cioccolato,cioccolato,cioccolato,105
105,Agar agar,agar agar,agar agar,23
106,Zucchero di canna,zucchero di canna,zucchero di canna,547
107,Filetto di merluzzo,filetto di merluzzo,filetto di merluzzo,49
108,Timo,timo,timo,874
109,Petto di tacchino,petto di tacchino,petto di tacchino,43
110,Pancetta affumicata,pancetta affumicata,pancetta affumicata,155
111,Senape,senape,senape,236
112,Vino rosso,vino rosso,vino rosso,219
113,Albumi,albumi,albumi,436
114,Granella di nocciole,granella di nocciole,granella di nocciole,102
115,Sciroppo di latte di mandorla,sciroppo di latte di mandorla,sciroppo alla fragola,27
116,Caffè,caffè,caffè,190
117,Pasta Sfoglia,pasta sfoglia,pasta sfoglia,239
118,Gorgonzola,gorgonzola,gorgonzola,83
119,Gherigli di noci,gherigli di noci,gherigli di noci,68
