,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
0,20 olive verdi in salamoia,20 olive verdi,olive verdi,20,olive verdi,olive verdi,119
1,100 gr di manzo macinato,100 gr di manzo macinato,manzo macinato,100 gr,manzo,macinato di bovino,51
2,100 gr di maiale macinato,100 gr di maiale macinato,maiale macinato,100 gr,maiale,macinato di suino,21
3,100 gr di pollo macinato,100 gr di pollo macinato,pollo macinato,100 gr,pollo,macinato di pollo,5
4,50 gr di mortadella,50 gr di mortadella,mortadella,50 gr,mortadella,mortadella,84
5,50 gr di prosciutto crudo,50 gr di prosciutto crudo,prosciutto crudo,50 gr,prosciutto crudo,prosciutto crudo,182
6,100 gr di parmigiano grattugiato,100 gr di parmigiano grattugiato,parmigiano,100 gr,parmigiano,parmigiano reggiano dop,1291
7,3 uova,3 uova,uova,3,uova,uova,3872
8,1 cipolla,1 cipolla,cipolla,1,cipolla,cipolla,1415
9,1 carota,1 carota,carota,1,carota,carote,1077
10,1 costola di sedano,1 costola di sedano,sedano,1 costola,sedano,sedano,796
11,prezzemolo,prezzemolo,prezzemolo,,prezzemolo,prezzemolo,1668
12,noce moscata,noce moscata,noce moscata,noce,noce moscata,noce moscata,356
13,mollica di pane,mollica di pane,mollica di pane,,mollica di pane,mollica di pane,98
14,pangrattato,pangrattato,pangrattato,,pangrattato,pangrattato,834
15,1 cucchiaino di concentrato di pomodoro,1 cucchiaino di concentrato di pomodoro,concentrato di pomodoro,1 cucchiaino,concentrato di pomodoro,concentrato di pomodoro,192
16,1 limone,1 limone,limone,1,limone,limone,1394
17,olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,,olio extravergine d'oliva,olio extravergine d'oliva,4337
18,sale,sale,sale,,sale,sale,9693
19,pepe,pepe,pepe,,pepe,pepe,5844
20,350 gr di riso,350 gr di riso,riso,350 gr,riso,riso,289
21,2 piedi di maiale,2 piedi di maiale,carne di maiale,2,carne di maiale,carne di suino,202
22,2 orecchie,2 orecchie,,,,,
23,1 gambo di sedano,1 gambo di sedano,sedano,1 gambo,sedano,sedano,796
24,1 pomodoro,1 pomodoro,pomodoro,1,pomodoro,pomodori,634
25,500 g di baccalà,500 g di baccalà,baccalà,500 g,baccalà,baccalà,94
26,100 g di farina,100 g di farina,farina,100 g,farina,farina,2121
27,400 g di pomodori,400 g di pomodori,pomodori,400 g,pomodori,pomodori,634
28,aglio,aglio,aglio,,aglio,aglio,2572
29,200 g di mandorle amare,200 g di mandorle amare,mandorle amare,200 g,mandorle,mandorle,415
30,300 g di mandorle dolci,300 g di mandorle dolci,mandorle,300 g,mandorle,mandorle,415
31,3 albumi,3 albumi,albumi,3,albumi,albumi,436
32,500 g di zucchero,500 g di zucchero,zucchero,500 g,zucchero,zucchero,4949
33,50 g di zucchero a velo,50 g di zucchero,zucchero,50 g,zucchero,zucchero,4949
34,250 g di castagne,250 g di castagne,castagne,250 g,castagne,castagne,56
35,500 g di mele,500 g di mele,mele,500 g,mele,mele,204
36,1 oca da 3 kg pulita,1 oca da 3 kg pulita,oca,1,oca,oca,6
37,30g di burro,30g di burro,burro,30 g,burro,burro,4606
38,1 uovo,1 uovo,uovo,1,uovo,uova,3872
39,2 cucchiai di olio extravergine d'oliva,2 cucchiai di olio extravergine d'oliva,olio extravergine d'oliva,2 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
40,4 braciole di maiale,4 braciole di maiale,braciole di maiale,4,braciole di maiale,carne di suino,202
41,200 gr di riso,200 gr di riso,riso,200 gr,riso,riso,289
42,1 verza,1 verza,verza,1,verza,verza,78
43,2 pomodori pelati,2 pomodori pelati,pomodori pelati,2,pomodori pelati,pomodori pelati,196
44,1 bicchiere di olio extravergine d'oliva,1 bicchiere di olio extravergine d'oliva,olio extravergine d'oliva,1 bicchiere,olio extravergine d'oliva,olio extravergine d'oliva,4337
45,formaggio grattugiato,formaggio grattugiato,formaggio,,formaggio,formaggio,264
46,200 gr di farina,200 gr di farina,farina,200 gr,farina,farina,2121
47,2 uova,2 uova,uova,2,uova,uova,3872
48,1 cucchiaio di olio extravergine d'oliva o di sugna,1 cucchiaio di olio extravergine d'oliva,olio extravergine d'oliva,1 cucchiaio,olio extravergine d'oliva,olio extravergine d'oliva,4337
49,1 cucchiaio di zucchero,1 cucchiaio di zucchero,zucchero,1 cucchiaio,zucchero,zucchero,4949
50,150 g di salame,150 g di salame,salame,150 g,salame,salame,59
51,400 gr di formaggio di capra grattugiato,400 gr di formaggio di capra grattugiato,formaggio di capra,400 gr,formaggio,formaggio di capra,8
52,300 gr di formaggio fresco,300 gr di formaggio fresco,formaggio fresco,300 gr,formaggio fresco,formaggio fresco,38
53,6 uova,6 uova,uova,6,uova,uova,3872
54,"1 kg di pesce \r                                     lucerne, merluzzi, triglie, pannocchie, seppioline, cozze, vongole \r                                     ed altro pesce di scoglio","1 kg di pesce \r                                     lucerne, merluzzi, triglie, pannocchie, seppioline, cozze, vongole \r",,1 kg,,,
55,10 gr di concentrato di pomodoro,10 gr di concentrato di pomodoro,concentrato di pomodoro,10 gr,concentrato di pomodoro,concentrato di pomodoro,192
56,aceto,aceto,aceto,,aceto,aceto,528
57,120 g di tartufi,120 g di tartufi,tartufi,120 g,tartufi neri,tartufo,18
58,150 g di burro,150 g di burro,burro,150 g,burro,burro,4606
59,2 filetti d'acciuga,2 filetti d'acciuga,filetti d'acciuga,2,filetti acciughe,acciughe,403
60,4 fette di pane tostato,4 fette di pane tostato,pane tostato,4 fette,pane tostato,pane tostato,18
61,mezzo spicchio d'aglio,mezzo spicchio d'aglio,aglio,mezzo spicchio,aglio,aglio,2572
62,olio d'oliva,olio d'oliva,olio d'oliva,,olio d'oliva,olio d'oliva,122
63,800 g di carne di cinghiale (spalla o coscia),800 g di carne di cinghiale,carne di cinghiale,800 g,carne,carne di cinghiale,9
