,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
0,3 cucchiai di semi di chia,3 cucchiai di semi di chia,semi di chia,3 cucchiai,semi di chia,semi di chia,semi,107,,,,,
1,180 ml di latte di cocco,180 ml di latte di cocco,latte di cocco,180 ml,latte di cocco,latte di cocco,latte di cocco,57,,,,,
2,½ bacca di vaniglia,1/2 bacca di vaniglia,vaniglia,1/2 bacca,vaniglia,vaniglia,baccello di vaniglia,845,,,,,
3,2 cucchiai di sciroppo d’acero,2 cucchiai di sciroppo d'acero,sciroppo d' acero,2 cucchiai,sciroppo d'acero,sciroppo d'acero,sciroppo d'acero,32,,,,,
4,250 g di yogurt greco,250 g di yogurt greco,yogurt greco,250 g,yogurt greco,yogurt greco,yogurt greco,196,,,,,
5,250 g di fragole,250 g di fragole,fragole,250 g,fragole,fragole,fragole,249,,,,,
6,3-4 cucchiai di zucchero di canna,3-4 cucchiai di zucchero di canna,zucchero di canna,3 - 4 cucchiai,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
7,granella di nocciole,granella di nocciole,granella di nocciole,,granella di nocciole,granella di nocciole,granella di nocciole,102,,,,,
8,4 cucchiaini di farro soffiato,4 cucchiaini di farro soffiato,farro soffiato,4 cucchiaini,farro soffiato,farro,farro,31,,,,,
9,cocco rapé,cocco rapé,cocco rapé,,cocco,cocco,cocco,45,,,,,
10,250 g di ceci già cotti,250 g di ceci,ceci,250 g,ceci,ceci,ceci secchi,72,,,,,
11,100 g di songino,100 g di songino,songino,100 g,insalata songino,insalata songino,songino,34,,,,,
12,2 carote piccole,2 carote piccole,carote,2,carote,carote,carote,1077,,,,,
13,olio,olio,olio,,olio,olio,olio,2191,,,,,
14,aceto di mele,aceto di mele,aceto di mele,,aceto di mele,aceto di mele,aceto di mele,91,,,,,
15,senape dolce aromatica,senape dolce aromatica,senape dolce aromatica,,senape dolce aromatica,senape,senape,236,,,,,
16,sale,sale,sale,,sale,sale,sale,9693,,,,,
17,250 g di biscotti tipo Digestive,250 g di biscotti tipo digestive,biscotti tipo digestive,250 g,biscotti tipo digestive,biscotti tipo digestive,biscotti digestive,69,,,,,
18,50 g di cocco grattugiato,50 g di cocco grattugiato,cocco,50 g,cocco,cocco,cocco,45,,,,,
19,150 g di burro fuso,150 g di burro fuso,burro,150 g,burro,burro,burro,4606,,,,,
