Def,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
abbacchio,4,1,1,2
acai,1,0,1,0
acciughe,403,237,117,49
aceto,528,327,138,63
aceto balsamico,172,134,37,1
aceto di lamponi,12,9,3,0
aceto di mele,91,52,39,0
aceto di riso,29,10,19,0
acetosella,1,1,0,0
acido ascorbico,1,1,0,0
acqua,1976,699,1227,50
acqua di fiori d'arancio,27,21,5,1
acqua di rose,6,3,3,0
acqua frizzante,43,29,14,0
acquavite,3,3,0,0
agar agar,23,13,10,0
aglianico,2,2,0,0
aglio,2572,1196,1071,305
agretti,4,4,0,0
aguglie,2,1,0,1
alaccia,1,0,1,0
albicocche,69,48,21,0
albicocche secche,26,26,0,0
alborelle,1,0,0,1
albumi,436,232,197,7
alchechengi,6,2,4,0
alchermes,15,9,6,0
alcol puro,23,8,15,0
alga nori,31,15,16,0
alici,44,36,0,8
alloro,451,199,178,74
allspice,1,1,0,0
amaranto,6,5,1,0
amarene,47,19,28,0
amaretti,104,67,36,1
amaro,5,1,4,0
amido di mais,322,97,223,2
amido di riso,18,12,6,0
ammoniaca,15,6,8,1
anacardi,23,7,16,0
ananas,78,49,29,0
aneletti,1,1,0,0
anelli siciliani,2,0,2,0
aneto,105,31,73,1
angostura,6,5,1,0
anguille,9,6,0,3
anguria,14,14,0,0
anice,9,4,3,2
anice stellato,21,9,12,0
animelle,12,9,1,2
anistelle,1,1,0,0
aperol,3,1,2,0
appenzeller,2,0,2,0
apricot,1,1,0,0
arachidi,24,14,10,0
aragosta,10,6,2,2
arance,358,272,74,12
arancia candita,60,27,30,3
aringhe,9,9,0,0
arista,13,5,4,4
armagnac,2,2,0,0
aroma,10,3,7,0
aroma alla mandorla,14,4,10,0
aromi,4,4,0,0
arrosto,2,2,0,0
arrotolata,1,1,0,0
arrow,1,1,0,0
arselle,4,4,0,0
asiago,30,10,19,1
asparagi,192,102,77,13
assenzio,2,1,0,1
astice,9,5,4,0
avena,5,2,3,0
avocado,136,83,53,0
azzurro,1,1,0,0
aïoli,1,1,0,0
baccalà,94,49,21,24
baccello di vaniglia,845,386,448,11
bacche di goji,8,6,2,0
bacon,39,21,18,0
baguette,23,11,12,0
baileys,2,1,1,0
banane,76,48,28,0
bananito,1,0,1,0
barba di frate,15,4,10,1
barbabietole,61,29,32,0
barbera,3,2,1,0
barchette,3,3,0,0
bargigli di gallo,1,1,0,0
barolo,9,6,2,1
basilico,944,477,416,51
bastoncino,1,1,0,0
bavette,4,2,0,2
bean koppert cress,1,1,0,0
beccacce,1,0,0,1
berberè,2,0,2,0
bergamotto,1,1,0,0
besciamella,110,106,0,4
bettelmatt,2,0,2,0
bevanda di cocco,2,2,0,0
bevanda di mandorla,2,1,1,0
bevanda di riso,3,3,0,0
bevanda di soia,4,4,0,0
bianco,4,4,0,0
bicarbonato,142,75,67,0
biete,64,37,22,5
biga,3,1,2,0
bignè,11,10,1,0
bigoli,7,4,3,0
birra,103,35,67,1
biscotti,84,51,32,1
biscotti al cioccolato,29,15,14,0
biscotti digestive,69,32,37,0
bistecche di struzzo,1,1,0,0
bitter,2,2,0,0
bitto,5,3,1,1
blinq koppert cress,1,1,0,0
blu curacao,1,1,0,0
boccioli di rosa,2,2,0,0
boldrò,1,0,0,1
bonarda,1,0,1,0
borragine,9,5,1,3
bottarga,50,40,10,0
bouquet garni,1,1,0,0
bourbon,1,1,0,0
boursault,1,0,1,0
brachetto,1,1,0,0
brandy,122,84,35,3
branzino,39,17,17,5
brasato,2,2,0,0
bresaola,20,7,13,0
brie,17,8,9,0
brigante,1,0,1,0
brioche,6,6,0,0
broccoli,95,49,44,2
brodo,215,178,13,24
brodo di carne,219,111,75,33
brodo di pesce,27,19,7,1
brodo vegetale,571,252,298,21
brovade,2,1,0,1
bruscandoli,3,2,1,0
bucatini,26,12,10,4
buccia d'arancia,187,11,168,8
budino di cioccolato,1,0,1,0
bue,1,1,0,0
bulgur,14,5,9,0
burrata,28,6,22,0
burro,4606,2725,1628,253
burro chiarificato,31,16,15,0
burro di arachidi,8,3,5,0
burro di cacao,9,7,2,0
busiate,2,2,0,0
cacao amaro,524,278,238,8
cacao dolce,14,9,3,2
cachaca,2,1,1,0
cachi,17,13,4,0
caciocavallo,87,28,55,4
cacioricotta,5,5,0,0
caciotta,15,11,4,0
caffè,190,89,93,8
caffè di riso,1,1,0,0
caffè solubile,42,26,16,0
caglio,3,2,1,0
cajun,2,0,2,0
calamarata,9,7,2,0
calamaretti,16,16,0,0
calamari,102,56,40,6
calle,1,1,0,0
calvados,8,8,0,0
camembert,8,4,4,0
camomilla,1,0,0,1
camoscio,1,1,0,0
campagnola,1,1,0,0
campari,5,3,2,0
candele,1,1,0,0
canestrelli,1,1,0,0
cannella,499,233,222,44
cannelloni all'uovo,6,1,5,0
cannoli pastasfoglia,2,1,1,0
canocchie,14,5,7,2
cantuccini,1,1,0,0
capellini,6,5,1,0
capesante,50,34,15,1
capitone,3,2,0,1
capocollo,3,1,2,0
cappellettoni,1,1,0,0
cappello del prete,2,2,0,0
capperi,366,227,112,27
cappone,15,10,3,2
capretto,10,3,2,5
caprino,58,25,33,0
capunti,1,1,0,0
carambola,3,2,1,0
caramelle di zucchero,10,4,6,0
caramello,17,12,5,0
carbonato di ammonio,1,1,0,0
carbone vegetale,2,1,1,0
carciofi,222,119,81,22
cardamomo,47,27,20,0
cardi,19,6,7,6
carne,44,38,1,5
carne di agnello,57,23,26,8
carne di anatra,27,16,6,5
carne di bovino,492,223,225,44
carne di capriolo,5,3,2,0
carne di cavallo,5,4,1,0
carne di cinghiale,9,3,3,3
carne di coniglio,65,42,17,6
carne di gallina,16,16,0,0
carne di lepre,9,5,2,2
carne di pollo,350,175,156,19
carne di suino,202,81,87,34
carne di tacchino,43,19,22,2
carote,1077,552,452,73
carote viola,7,2,5,0
carotine,18,18,0,0
carpaccio di manzo,4,4,0,0
carpaccio di pesce spada,1,1,0,0
carrube,1,1,0,0
carta di riso,2,0,2,0
carvi,1,0,1,0
casarecce,16,2,14,0
casatella,1,1,0,0
casera,2,2,0,0
casizolu,1,0,1,0
castagne,56,28,21,7
castagne secche,6,4,0,2
castelmagno,7,4,3,0
castrato,4,2,0,2
cavatelli,6,1,5,0
caviale,7,7,0,0
caviale di limone,1,1,0,0
cavoletti di bruxelles,20,8,12,0
cavolfiore,101,61,32,8
cavolo cappuccio,44,26,15,3
cavolo nero,44,19,17,8
cavolo rosso,18,6,12,0
cavolo verza,13,10,1,2
ceci precotti,48,18,30,0
ceci secchi,72,48,20,4
cedro,11,5,1,5
cedro candito,34,19,11,4
cefali,1,1,0,0
cellentani,5,1,4,0
cepole,1,0,1,0
cereali,7,4,3,0
cerfoglio,27,21,0,6
cernia,8,6,2,0
cervella,5,4,0,1
cetrioli,121,79,39,3
cetriolini sott'aceto,48,35,8,5
champagne,16,13,3,0
champignon,22,22,0,0
chardonnay,1,1,0,0
cheddar,15,1,14,0
chevre,1,0,1,0
chia,1,1,0,0
chicche di patate,1,1,0,0
chicchi di caffè,21,3,18,0
chinotto,2,2,0,0
chiocciole,1,1,0,0
chiodi di garofano,180,82,78,20
chiodo,1,1,0,0
chips di banana,1,1,0,0
chorizo,4,0,4,0
choux,1,1,0,0
choy,1,1,0,0
chutney,1,1,0,0
ciabattine,1,1,0,0
cialde,1,0,1,0
cialde al cioccolato,1,1,0,0
ciauscolo,1,1,0,0
cicale,2,1,0,1
ciccioli,4,3,0,1
cicerchia,4,2,2,0
cicoria,37,24,10,3
ciliegie,86,48,38,0
ciliegie candite,30,19,11,0
ciliegie sciroppate,3,1,2,0
ciliegina al maraschino,2,2,0,0
cime di broccoli,10,10,0,0
cime di rapa,20,5,14,1
cioccolato,105,85,14,6
cioccolato al latte,59,33,25,1
cioccolato bianco,160,77,83,0
cioccolato fondente,833,463,363,7
cioccolato gianduia,20,12,8,0
