,Ingredient,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR,Clue
1270,abbacchio,3,1,1,1,abbacchio
4832,abbacchio fatto,1,0,0,1,abbacchio fatto
4500,acai,1,0,1,0,acai
1847,acciuga,8,7,0,1,acciuga
4885,acciuga salata,1,0,0,1,acciuga
2733,acciuga sott'olio,1,1,0,0,acciuga
3540,acciuga sotto sale,5,4,0,1,acciuga
4048,acciuga sottosale,1,1,0,0,acciuga
651,acciughe,104,48,41,15,acciughe
2649,acciughe del cantabrico,2,2,0,0,acciughe
3554,acciughe di carloforte,1,1,0,0,acciughe
1043,acciughe dissalate,3,3,0,0,acciughe
1184,acciughe salate,13,8,0,5,acciughe salate
238,acciughe sott'olio,85,17,68,0,acciughe sott'olio
894,acciughe sotto sale,74,50,8,16,acciughe sotto sale
82,aceto,210,157,10,43,aceto
1010,aceto agro,5,5,0,0,aceto
3463,aceto aromatico,1,1,0,0,aceto
212,aceto balsamico,138,101,36,1,aceto balsamico
640,aceto balsamico di modena,13,13,0,0,aceto balsamico di modena
1704,aceto balsamico dop,1,1,0,0,aceto
1563,aceto balsamico tradizionale,14,14,0,0,aceto balsamico tradizionale
3753,aceto balsanico,1,1,0,0,aceto
440,aceto bianco,106,101,0,5,aceto bianco
1538,aceto bianco di vino,1,1,0,0,aceto
595,aceto di lamponi,12,9,3,0,aceto di lamponi
14,aceto di mele,91,52,39,0,aceto di mele
1446,aceto di miele,1,1,0,0,aceto
2737,aceto di mosto,1,1,0,0,aceto
844,aceto di riso,29,10,19,0,aceto di riso
2307,aceto di sherry,3,3,0,0,aceto
954,aceto di sidro,6,2,4,0,aceto di sidro
404,aceto di vino,10,7,0,3,aceto di vino
233,aceto di vino bianco,148,28,111,9,aceto di vino bianco
946,aceto di vino rosso,24,8,13,3,aceto di vino rosso
3379,aceto di xeres,3,3,0,0,aceto
2421,aceto rosso,9,9,0,0,aceto rosso
3664,acetosella,1,1,0,0,acetosella
1804,acido ascorbico,1,1,0,0,acido ascorbico
1488,acini d'uva,1,1,0,0,acini d'uva
1186,acini d'uva rosata,1,1,0,0,acini d'uva rosata
784,acini di uvetta,1,1,0,0,acini di uvetta
111,acqua,1945,677,1226,42,acqua
4863,acqua aromatica ai fiori d'arancio,1,0,0,1,acqua
2068,acqua d'arancia,2,2,0,0,acqua
3013,acqua dei frutti di mare,1,1,0,0,acqua
983,acqua di agrumi,1,1,0,0,acqua
3233,acqua di bietole,1,1,0,0,acqua
1307,acqua di brodo di carne,1,1,0,0,acqua
410,acqua di brodo vegetale,2,2,0,0,acqua
2232,acqua di cocco,1,1,0,0,acqua
2164,acqua di fior d'arancio,3,3,0,0,acqua
880,acqua di fiori d'arancio,23,18,5,0,acqua di fiori d'arancio
1614,acqua di mozzarella di bufala,1,1,0,0,acqua
2964,acqua di rose,6,3,3,0,acqua di rose
3767,acqua dolce,1,1,0,0,acqua
752,acqua frizzante,18,18,0,0,acqua frizzante
4142,acqua gasata,1,1,0,0,acqua
2750,acqua gassata,16,2,14,0,acqua gassata
3477,acqua liscia,1,1,0,0,acqua
2699,acqua minerale,2,2,0,0,acqua
1191,acqua minerale frizzante,8,8,0,0,acqua minerale frizzante
3536,acqua minerale naturale,1,1,0,0,acqua
2313,acqua naturale,1,1,0,0,acqua
997,acqua oligominerale,2,2,0,0,acqua
2670,acqua salata,2,2,0,0,acqua
4700,acqua tonica,1,0,1,0,acqua
3074,acquavite,2,2,0,0,acquavite
2135,acquavite d'uva,1,1,0,0,acquavite d'uva
850,agar,11,11,0,0,agar
1214,agar agar,12,2,10,0,agar agar
2563,agave,1,1,0,0,agave
2444,aglianico,2,2,0,0,aglianico
41,aglio,2542,1177,1061,304,aglio
4806,aglio affettato,1,0,0,1,aglio
2826,aglio di nubia,1,1,0,0,aglio
2661,aglio di resia,2,2,0,0,aglio
2787,aglio di vessalico,2,2,0,0,aglio
4402,aglio fresco,4,0,4,0,aglio
4618,aglio orsino,1,0,1,0,aglio
2441,aglio rosa,4,4,0,0,aglio
3204,aglio rosso,4,1,3,0,aglio
4157,aglio rosso di nubia,1,1,0,0,aglio
1794,aglio secco,4,4,0,0,aglio
1963,aglio ursino,2,2,0,0,aglio
2005,aglio ursino secco,1,1,0,0,aglio
2659,agnello,20,5,13,2,agnello
999,agretti,4,4,0,0,agretti
1544,agrumi canditi,1,1,0,0,agrumi canditi
3844,aguglie,2,1,0,1,aguglie
4459,alaccia,1,0,1,0,alaccia
472,albicocche,60,43,17,0,albicocche
3001,albicocche aperte,1,1,0,0,albicocche
3397,albicocche candite,1,1,0,0,albicocche
4655,albicocche disidratate,1,0,1,0,albicocche
1279,albicocche sciroppate,4,1,3,0,albicocche
426,albicocche secche,26,26,0,0,albicocche secche
1992,albicocche snocciolate,1,1,0,0,albicocche
4867,alborelle,1,0,0,1,alborelle
608,albume,88,87,0,1,albume
1175,albume d'uovo,2,2,0,0,albume
4878,albume di uovo,1,0,0,1,albume
663,albume montato,1,1,0,0,albume
222,albumi,341,140,197,4,albumi
4195,albumi d'uovo,1,1,0,0,albumi
2215,albumi di uova,1,1,0,0,albumi
4865,albumi uova,1,0,0,1,uova
4883,albumi uovo,1,0,0,1,uovo
3105,alchechengi,6,2,4,0,alchechengi
341,alchermes,14,8,6,0,alchermes
2178,alcol,4,4,0,0,alcol puro
3507,alcol da liquori,2,2,0,0,alcol
4321,alcol puro,15,0,15,0,alcol puro
2784,alcool,2,2,0,0,alcool
2050,alette di pollo,9,1,8,0,alette di pollo
1454,alga,2,2,0,0,alga nori
4457,alga kombu,5,0,5,0,alga nori
1912,alga nori,20,10,10,0,alga nori
4698,alga wakame,1,0,1,0,alga kombu
2139,alghe nori,2,2,0,0,alghe nori
3646,ali di gallina padovana,1,1,0,0,alici
2051,ali di pollo,1,1,0,0,alici
