,Ingredient,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
1270,abbacchio,3,1,1,1
4832,abbacchio fatto,1,0,0,1
4500,acai,1,0,1,0
1847,acciuga,8,7,0,1
4885,acciuga salata,1,0,0,1
2733,acciuga sott'olio,1,1,0,0
3540,acciuga sotto sale,5,4,0,1
4048,acciuga sottosale,1,1,0,0
651,acciughe,104,48,41,15
2649,acciughe del cantabrico,2,2,0,0
3554,acciughe di carloforte,1,1,0,0
1043,acciughe dissalate,3,3,0,0
1184,acciughe salate,13,8,0,5
238,acciughe sott'olio,85,17,68,0
894,acciughe sotto sale,74,50,8,16
82,aceto,210,157,10,43
1010,aceto agro,5,5,0,0
3463,aceto aromatico,1,1,0,0
212,aceto balsamico,138,101,36,1
640,aceto balsamico di modena,13,13,0,0
1704,aceto balsamico dop,1,1,0,0
1563,aceto balsamico tradizionale,14,14,0,0
3753,aceto balsanico,1,1,0,0
440,aceto bianco,106,101,0,5
1538,aceto bianco di vino,1,1,0,0
595,aceto di lamponi,12,9,3,0
14,aceto di mele,91,52,39,0
1446,aceto di miele,1,1,0,0
2737,aceto di mosto,1,1,0,0
844,aceto di riso,29,10,19,0
2307,aceto di sherry,3,3,0,0
954,aceto di sidro,6,2,4,0
404,aceto di vino,10,7,0,3
233,aceto di vino bianco,148,28,111,9
946,aceto di vino rosso,24,8,13,3
3379,aceto di xeres,3,3,0,0
2421,aceto rosso,9,9,0,0
3664,acetosella,1,1,0,0
1804,acido ascorbico,1,1,0,0
1488,acini d'uva,1,1,0,0
1186,acini d'uva rosata,1,1,0,0
784,acini di uvetta,1,1,0,0
111,acqua,1945,677,1226,42
4863,acqua aromatica ai fiori d'arancio,1,0,0,1
2068,acqua d'arancia,2,2,0,0
3013,acqua dei frutti di mare,1,1,0,0
983,acqua di agrumi,1,1,0,0
3233,acqua di bietole,1,1,0,0
1307,acqua di brodo di carne,1,1,0,0
410,acqua di brodo vegetale,2,2,0,0
2232,acqua di cocco,1,1,0,0
2164,acqua di fior d'arancio,3,3,0,0
880,acqua di fiori d'arancio,23,18,5,0
1614,acqua di mozzarella di bufala,1,1,0,0
2964,acqua di rose,6,3,3,0
3767,acqua dolce,1,1,0,0
752,acqua frizzante,18,18,0,0
4142,acqua gasata,1,1,0,0
2750,acqua gassata,16,2,14,0
3477,acqua liscia,1,1,0,0
2699,acqua minerale,2,2,0,0
1191,acqua minerale frizzante,8,8,0,0
3536,acqua minerale naturale,1,1,0,0
2313,acqua naturale,1,1,0,0
997,acqua oligominerale,2,2,0,0
2670,acqua salata,2,2,0,0
4700,acqua tonica,1,0,1,0
3074,acquavite,2,2,0,0
2135,acquavite d'uva,1,1,0,0
850,agar,11,11,0,0
1214,agar agar,12,2,10,0
2563,agave,1,1,0,0
2444,aglianico,2,2,0,0
41,aglio,2542,1177,1061,304
4806,aglio affettato,1,0,0,1
2826,aglio di nubia,1,1,0,0
2661,aglio di resia,2,2,0,0
2787,aglio di vessalico,2,2,0,0
4402,aglio fresco,4,0,4,0
4618,aglio orsino,1,0,1,0
2441,aglio rosa,4,4,0,0
3204,aglio rosso,4,1,3,0
4157,aglio rosso di nubia,1,1,0,0
1794,aglio secco,4,4,0,0
1963,aglio ursino,2,2,0,0
2005,aglio ursino secco,1,1,0,0
2659,agnello,20,5,13,2
999,agretti,4,4,0,0
1544,agrumi canditi,1,1,0,0
3844,aguglie,2,1,0,1
4459,alaccia,1,0,1,0
472,albicocche,60,43,17,0
3001,albicocche aperte,1,1,0,0
3397,albicocche candite,1,1,0,0
4655,albicocche disidratate,1,0,1,0
1279,albicocche sciroppate,4,1,3,0
426,albicocche secche,26,26,0,0
1992,albicocche snocciolate,1,1,0,0
4867,alborelle,1,0,0,1
608,albume,88,87,0,1
1175,albume d'uovo,2,2,0,0
4878,albume di uovo,1,0,0,1
663,albume montato,1,1,0,0
222,albumi,341,140,197,4
4195,albumi d'uovo,1,1,0,0
2215,albumi di uova,1,1,0,0
4865,albumi uova,1,0,0,1
4883,albumi uovo,1,0,0,1
3105,alchechengi,6,2,4,0
341,alchermes,14,8,6,0
2178,alcol,4,4,0,0
3507,alcol da liquori,2,2,0,0
4321,alcol puro,15,0,15,0
2784,alcool,2,2,0,0
2050,alette di pollo,9,1,8,0
1454,alga,2,2,0,0
4457,alga kombu,5,0,5,0
1912,alga nori,20,10,10,0
4698,alga wakame,1,0,1,0
2139,alghe nori,2,2,0,0
3646,ali di gallina padovana,1,1,0,0
2051,ali di pollo,1,1,0,0
3854,ali di razza,1,1,0,0
1997,alice,1,1,0,0
823,alici,35,28,0,7
4155,alici di aspra,1,1,0,0
2734,alici marinate,1,1,0,0
2796,alici sott'olio,3,2,0,1
1720,alici sotto sale,1,1,0,0
4073,alici spagnole,1,1,0,0
3420,alici spinate,1,1,0,0
3244,alkermes,1,1,0,0
253,alloro,449,197,178,74
2521,alloro secco,2,2,0,0
4016,allspice,1,1,0,0
2522,alvia,1,1,0,0
2259,amaranto,6,5,1,0
1604,amarene,6,4,2,0
4339,amarene con sciroppo,3,0,3,0
2019,amarene fabbri,2,2,0,0
1945,amarene sciroppate,33,10,23,0
2098,amarene sciroppate sgocciolate,1,1,0,0
3995,amarene sciroppate snocciolate,1,1,0,0
